fecha,evento
2019-01-03,cancelación del NAICM
2019-01-18,explosión Tlahuelilpan
2019-02-28,aprobación de la Guardia Nacional
2019-03-08,marcha 8m
2019-03-12,Senado nombra a Yasmín Esquivel Mossa como ministra SCJN
2019-03-25,AMLO solicita al rey de España que pida perdón por la conquista
2019-04-19,masacre en Minatitlán (Veracruz) deja 14 muertos y 3 heridos
2019-05-09,crisis ambiental CDMX
2019-05-21,renuncia Germán Martínez al IMSS
2019-05-30,Trump amenaza aranceles migrantes
2019-06-02,elecciones en 6 estados
2019-06-18,despliegue GN en frontera sur
2019-07-09,renuncia Carlos Urzúa a SHCP
2019-07-12,crisis política en BC por prolongación de mandato Jaime Bonilla
2019-08-12,protestas feministas
2019-08-13,detención Rosario Robles
2019-08-28,masacre de Coatzacoalcos (Veracruz) deja 29 muertos y 10 heridos
2019-09-20,se aprueba reforma educativa de AMLO
2019-09-28,muere José José
2019-10-03,dimite Eduardo Medina Mora de la SCJN
2019-10-17,enfrentamiento Culiacán / liberación de Ovidio Guzmán
2019-10-25,incendios forestales en Baja California
2019-11-04,masacre de la familia LeBaron deja 9 muertos y 6 heridos 
2019-11-07,elige Senado a Rosario Piedra para CNDH
2019-11-10,crisis política en Bolivia
2019-11-11,México da asilo político a Evo Morales
2019-11-25,manifestación feminista en la ciudad de México
2019-12-05,Senado nombra a Margarita Ríos Farjat como ministra de SCJN
2020-01-30,declaración emergencia OMS
2020-02-07,anuncia rifa avión
2020-02-13,detención Lozoya
2020-02-27,1er caso COVID
2020-03-08,marcha 8m
2020-03-21,consulta cervecera Mexicali
2020-04-12,acuerda OPEP reducir producción
2020-07-01,entra en vigor T-MEC
2020-07-23,renuncia Javier Jiménez Espriú a la SCT
2020-08-02,ejército detiene al "Marro"
2020-08-21,video Pío López Obrador
2020-10-01,vota SCJN consulta juicio expresidentes
2020-10-11,emergencia por inundaciones en Tabasco
2020-10-16,detención general Cienfuegos
2020-12-24,llegan primeras vacunas
2021-02-15,apagones masivos
2021-03-08,marcha 8m
