term,freq,rank_f,doc_freq,rank_df
corrupción,2435,001,82.03,001
dinero,1743,002,77.12,004
estados_unidos,1559,003,69.32,026
apoyo,1467,004,80.17,002
empresas,1467,005,71.86,017
presupuesto,1455,006,69.83,023
política,1383,007,77.97,003
año,1330,008,72.54,015
trabajadores,1305,009,63.22,051
plan,1217,010,71.36,018
estados,1215,011,65.08,045
ciudadanos,1161,012,69.49,025
salud,1111,013,59.32,071
ayudar,1102,014,75.76,005
trabajando,1097,015,72.88,013
ciento,1094,016,66.78,036
casos,1093,017,74.07,009
respeto,1081,018,72.03,016
nunca,1079,019,73.22,012
derecho,1050,020,73.22,011
pemex,1050,021,46.78,164
programa,1036,022,62.2,056
todas,1015,023,74.41,007
democracia,1010,024,54.58,102
hecho,994,025,72.88,014
dar,971,026,74.92,006
hizo,964,027,73.56,010
seguir,961,028,74.24,008
quiero,958,029,69.83,022
violencia,952,030,55.08,100
pueden,938,031,70.85,019
pública,932,032,70.85,020
empresa,926,033,53.22,109
recursos,922,034,65.42,042
hicieron,921,035,69.83,024
nacional,915,036,66.1,040
justicia,911,037,62.03,057
reforma,909,038,55.08,099
jóvenes,909,039,49.15,142
pandemia,907,040,37.46,298
cada,895,041,67.97,033
situación,883,042,70.17,021
millones,870,043,57.12,089
digo,866,044,69.32,027
corresponde,865,045,69.15,028
bienestar,858,046,61.86,058
pesos,854,047,63.9,050
ayuda,851,048,62.37,054
cosa,848,049,68.81,030
problema,839,050,64.92,046
llevar_cabo,837,051,69.15,029
aunque,836,052,68.64,031
seguridad,829,053,60.68,062
proceso,811,054,66.61,037
vez,794,055,68.14,032
verdad,792,056,66.95,035
acerca,784,057,66.44,038
debe,784,058,65.25,043
mal,784,059,64.07,049
compromiso,776,060,62.71,052
nuevo,766,061,66.44,039
países,763,062,58.31,075
viendo,748,063,61.02,061
pueda,747,064,64.92,047
repito,743,065,66.95,034
trata,739,066,64.75,048
millones_pesos,738,067,59.15,072
hablar,732,068,65.25,044
periodo_neoliberal,725,069,57.29,086
medios,723,070,52.37,114
transformación,722,071,53.9,105
investigación,720,072,53.73,106
ley,718,073,53.22,110
vida,713,074,62.37,055
agua,711,075,33.56,379
atender,708,076,61.02,059
unidos,703,077,44.41,189
da,701,078,65.93,041
entregar,701,079,57.8,083
elementos,689,080,50.17,131
cambio,684,081,58.14,077
fiscalía,678,082,42.37,214
adultos_mayores,672,083,41.36,233
partir,672,084,60.0,069
ciudad_méxico,663,085,52.54,113
dar_conocer,657,086,59.49,070
hacen,654,087,61.02,060
afortunadamente,652,088,57.97,081
contratos,652,089,43.05,204
viene,650,090,58.14,079
empresarios,649,091,48.64,149
ayudando,648,092,56.1,092
dónde,646,093,56.1,094
mismo_tiempo,645,094,60.17,065
economía,644,095,45.25,180
forma,643,096,62.54,053
campaña,642,097,47.8,152
avanzando,640,098,58.98,073
mujeres,639,099,33.73,371
significa,634,100,60.17,068
pasa,629,101,60.17,067
parece,627,102,60.17,066
mucha,627,103,60.34,064
cuánto,624,104,50.0,133
personas,619,105,57.46,085
gran,617,106,56.78,090
hospitales,617,107,41.19,236
saben,616,108,57.63,084
libertad,614,109,51.19,123
terminar,613,110,57.29,087
pueblos,612,111,51.86,118
cierto,611,112,60.68,063
conservadores,609,113,47.46,155
adelante,607,114,58.31,076
gobernador,603,115,41.36,232
ningún,602,116,58.14,078
favor,598,117,55.08,098
poder_judicial,597,118,38.31,278
pueblo_méxico,595,119,55.42,097
llegar,593,120,57.29,088
confianza,589,121,49.66,134
comisión_federal,586,122,29.83,466
efecto,583,123,58.64,074
llevando_cabo,582,124,57.8,082
puede_ser,580,125,54.75,101
seguro,579,126,53.39,108
maestros,577,127,34.75,348
modo,577,128,56.61,091
resolver,572,129,53.39,107
mayoría,570,130,51.86,117
guardia_nacional,567,131,36.78,302
momento,563,132,56.1,093
fondo,563,133,50.68,129
dejar,560,134,58.14,080
extranjero,551,135,51.19,125
atendiendo,548,136,51.19,122
fin,548,137,48.98,145
comunicación,542,138,49.32,138
electricidad,542,139,30.34,445
servidores_públicos,541,140,51.19,124
historia,541,141,49.15,141
puedan,539,142,53.9,104
hacemos,537,143,55.59,095
cuidar,531,144,50.51,130
familia,531,145,45.42,179
pregunta,529,146,50.85,127
humanos,524,147,39.32,264
mantener,522,148,55.59,096
pagar,521,149,45.93,173
necesitamos,517,150,47.12,159
apoyar,516,151,49.66,135
buscar,511,152,51.69,119
puedo,511,153,50.85,126
gobierno_estados,511,154,35.59,332
relación,511,155,46.1,171
grupo,510,156,44.92,183
problemas,508,157,53.22,111
vacuna,508,158,18.98,976
mayor,507,159,50.17,132
buena,503,160,53.9,103
tan,503,161,52.2,115
desarrollo,498,162,44.75,184
vacunas,489,163,17.46,1102
posibilidad,487,164,51.53,121
pensando,486,165,49.66,136
igual,486,166,49.32,140
cargo,485,167,49.49,137
reunión,484,168,45.93,172
social,483,169,48.64,148
podamos,482,170,51.53,120
dicho,482,171,52.88,112
autoridades,478,172,43.56,193
vaya,477,173,50.68,128
importa,475,174,46.95,161
entrega,473,175,46.44,168
gobierno_federal,469,176,45.59,176
petróleo,468,177,30.0,456
crisis,467,178,36.78,304
avión,466,179,23.73,682
responsabilidad,462,180,48.81,146
atención,461,181,42.88,205
partido,460,182,35.59,334
siquiera,457,183,48.31,150
tampoco,457,184,48.98,144
sabe,454,185,47.29,157
segundo,453,186,46.61,166
servicio,451,187,42.03,223
médicos,451,188,33.73,374
vemos,448,189,52.03,116
sonora,448,190,27.8,528
cuatro,447,191,40.68,244
gobernadores,446,192,37.46,292
pasado,446,193,46.27,169
constitución,443,194,38.98,268
esperar,442,195,42.37,215
población,440,196,42.71,208
sistema,440,197,37.8,287
completo,435,198,47.63,153
hacia,435,199,42.03,221
pronto,435,200,44.58,185
